volume_4h,vw,open_4h,close_4h,high_4h,low_4h,t,transactions_4h,timestamp,sma20_4h,sma50_4h,sma100_4h,sma200_4h,close_over_sma20_4h,close_over_sma50_4h,close_over_sma100_4h,close_over_sma200_4h,rsi14_4h,macd_4h,macd_signal_4h,macd_hist_4h,bb_upper_4h,bb_lower_4h,prev_close_4h,tr_4h,atr14_4h,obv_4h,news_count,avg_sentiment,log_return_4h,ret_5_4h,vol_5_4h,avg_vol_20_4h,vol_ratio_4h,cum_vol_price_4h,cum_vol_4h,vwap_4h,stoch_k_4h,stoch_d_4h,dow_4h,month_4h,avg_sentiment_lag1_4h,sentiment_5d_ma_4h,close_lag1_4h,close_lag2_4h,close_lag3_4h,close_lag4_4h,close_lag5_4h,ema12_4h,ema26_4h,ema_diff_4h,ema_cross_4h,upper_atr_band_4h,lower_atr_band_4h,cmf20_4h,plus_di14_4h,minus_di14_4h,adx14_4h,cci20_4h,vpt_4h,roll_skew_10_4h,roll_kurt_10_4h,ret_10_4h,ret_20_4h,ret_50_4h,mom_vol_ratio_4h,vol_spike_4h,is_day_end_4h,is_week_end_4h,is_month_end_4h,is_quarter_end_4h,is_year_end_4h
2451108.0,172.2597,172.15,172.64,172.7484,171.9,1696939200000,21905,2023-10-10 08:00:00,170.127,172.67770000000002,175.47522500000002,176.88840100000002,1,0,0,0,74.2240215924424,0.1176885320951726,-0.4873758613546013,0.6050643934497739,173.1537150857866,167.10028491421343,172.14,0.848399999999998,0.8498428571428523,-133504394.0,3.0,1.8503717077085938e-17,0.0029004022884961,0.0063538327018359,0.0036310815477488,2191587.9,1.1184164687165867,64301688317.206085,363381642.0,176.9535961236206,95.537072725428,92.3589275450514,1,10,1.8503717077085938e-17,-0.0524999999999999,172.14,172.67,172.85,171.755,171.55,171.31854305094552,171.20085451885035,0.1176885320951726,1,174.33968571428568,170.9403142857143,0.300049481333781,37.262350991559984,10.506143984176845,46.56838110451766,127.31856696412736,-249140.00413917375,0.32413272415649,-1.3688555551652668,0.020753266717909336,0.019969278033794113,-0.03092899242211633,1.749840955063538,0,0,0,0,0,0
3129385.0,172.5426,172.64,172.525,172.795,172.35,1696953600000,23973,2023-10-10 12:00:00,170.29474999999996,172.55399999999997,175.413775,176.839326,1,0,0,0,74.77906186267856,0.2052124430326216,-0.3488582004771567,0.5540706435097784,173.4665508748147,167.12294912518524,172.64,0.4449999999999932,0.8594857142857089,-136633779.0,3.0,1.8503717077085938e-17,-0.0006663480031588,0.0044831300398824,0.0037342412944147,2071400.65,1.510757950182163,64841585464.331085,366511027.0,176.91578339423629,93.20417892281152,91.37843594685022,1,10,1.8503717077085938e-17,-0.0349999999999999,172.64,172.14,172.67,172.85,171.755,171.5041518123385,171.29893936930588,0.20521244303262165,1,174.24397142857143,170.80602857142858,0.3533987541267833,37.23156701912181,9.80652881307228,46.72777649786847,113.03839341334499,-251224.5689850955,0.31840448978363417,-1.2950782791580582,0.02146240378922437,0.01983212153455116,-0.034609143304795476,1.2005432110548622,0,0,0,0,0,0
27756.0,172.5325,172.53,172.55,172.66,172.41,1696968000000,124,2023-10-10 16:00:00,170.46724999999998,172.42860000000002,175.35137899999998,176.790326,1,1,0,0,80.07246376811597,0.2734410063821144,-0.2243983591053025,0.497839365487417,173.739143826292,167.19535617370795,172.525,0.25,0.774485714285709,-136606023.0,3.0,1.8503717077085938e-17,0.0001448960373469,-0.001735608909459,0.0021685167715537,2071947.75,0.0133960907074032,64846374762.13109,366538783.0,176.91545279706756,93.71132974946748,94.15086046590234,1,10,1.8503717077085938e-17,-0.0174999999999999,172.525,172.64,172.14,172.67,172.85,171.6650515335172,171.39161052713507,0.27344100638211444,1,174.09897142857142,171.0010285714286,0.35351066257847774,41.317740766852424,5.441398895634592,47.787950082999096,97.23855704338466,-251220.54695930216,0.7950504441313625,-0.13208062206445753,0.014880602282084432,0.020402128917800244,-0.03506319203668484,-0.8003631461812555,0,1,0,0,0,0
461261.0,173.543,172.78,173.6,173.84,172.78,1697011200000,740,2023-10-11 04:00:00,170.68325,172.32800000000003,175.300779,176.751726,1,1,0,0,81.66666666666667,0.4075409804436276,-0.0980104911955165,0.5055514716391442,174.18727967272966,167.17922032727031,172.55,1.289999999999992,0.8255571428571378,-136144762.0,3.0,-0.3277777777777778,0.0060667526822373,0.0053859964093356,0.0035129259281895,2093437.9,0.2203366051603441,64926449671.73109,367000044.0,176.91128579736923,95.93874270242814,94.2847504582357,2,10,1.8503717077085938e-17,-0.0655555555555555,172.55,172.525,172.64,172.14,172.67,171.9627359129761,171.55519493253246,0.40754098044362763,1,175.25111428571427,171.94888571428572,0.3556932919638508,48.97125746338346,5.104777721448106,50.28205496548146,117.8435045427913,-248413.68489033665,0.3131831425970875,-0.9720465726333387,0.0229817324690631,0.02551984877126645,-0.028158763925432484,1.533189480091497,0,0,0,0,0,0
2616930.0,173.5407,173.75,173.725,173.89,172.9,1697025600000,24672,2023-10-11 08:00:00,170.91049999999998,172.2301,175.25957899999997,176.717901,1,1,0,0,81.27978216473791,0.5179322309995769,0.0251780532435021,0.4927541777560747,174.58920672355055,167.23179327644942,173.6,0.9899999999999808,0.8705571428571375,-133527832.0,3.0,-0.3277777777777778,0.0007197869741412,0.0092076217032648,0.0027110739588945,2029699.25,1.2893190949348776,65381075835.98109,369616974.0,176.88872653337907,97.2313113516236,95.6271279345064,2,10,-0.3277777777777778,-0.1311111111111111,173.6,172.55,172.525,172.64,172.14,172.23385346482593,171.71592123382635,0.5179322309995769,1,175.46611428571427,171.98388571428572,0.40471766366465406,45.0040203769314,4.840906476278872,54.21773557688466,107.86413245401278,-246529.37469448417,0.4850832834107692,-0.9475960855836857,0.021070882802397994,0.026864877645111696,-0.02740454596349795,3.396287921315206,0,0,0,0,0,0
3527980.0,173.7971,173.72,173.79,174.125,173.515,1697040000000,30804,2023-10-11 12:00:00,171.14325,172.1353,175.219079,176.68445099999997,1,1,0,0,84.05292479108623,0.6037039260961308,0.1408832278140278,0.4628206982821029,174.93623143389812,167.35026856610187,173.725,0.6100000000000136,0.8905571428571396,-129999852.0,3.0,-0.3277777777777778,0.0003740845762513,0.0066612604263207,0.0026978145558499,1924533.45,1.83316117472523,65994203480.18108,373144954.0,176.85942895044772,94.5919767535716,95.92067693587444,2,10,-0.3277777777777778,-0.1966666666666666,173.725,173.6,172.55,172.525,172.64,172.47326062408348,171.86955669798735,0.6037039260961308,1,175.57111428571426,172.00888571428573,0.2986854932579684,45.878182160543396,4.732190117958153,58.20508710806967,108.24764998659916,-245209.3649089038,0.6864703921345164,-0.14187179686952994,0.013057417662488913,0.027522393354421082,-0.026550159637035886,2.469122913080681,0,0,0,0,0,0
89231.0,173.7968,173.79,173.93,173.98,173.79,1697054400000,91,2023-10-11 16:00:00,171.38725,172.05650000000003,175.17957900000002,176.64770099999998,1,1,0,0,81.53225806451601,0.6751922464584368,0.2477450315429096,0.4274472149155271,175.2406264756586,167.5338735243414,173.79,0.1899999999999977,0.7398785714285684,-129910621.0,3.0,-0.3277777777777778,0.0008052456434196,0.0081437472830023,0.0024988012792771,1927305.55,0.0462983152827012,66009723428.011086,373234185.0,176.85872859692927,95.63269876819724,95.8186622911308,2,10,-0.3277777777777778,-0.2622222222222222,173.79,173.725,173.6,172.55,172.525,172.6973743742245,172.02218212776606,0.6751922464584368,1,175.40975714285713,172.45024285714288,0.2990602287188888,43.73304495551146,5.695915347406565,61.14230432505758,102.70383382328947,-245137.48309752223,0.7314737505663996,-0.10654409241098049,0.012663386800966459,0.02886719905353452,-0.02215100916399615,3.2590485526214956,0,1,0,0,0,0
26853.0,174.5607,174.25,174.69,174.76,174.25,1697097600000,208,2023-10-12 04:00:00,171.67775,171.99629999999996,175.143479,176.615801,1,1,0,0,87.57530120481943,0.7841338963552857,0.3550228045053848,0.4291110918499008,175.61045962569077,167.74504037430924,173.93,0.8299999999999841,0.7641642857142809,-129883768.0,3.0,0.0481481481481481,0.0043600550970762,0.0124022022602143,0.0025853595674938,1927223.75,0.013933514466081,66014414378.581085,373261038.0,176.85857257510247,98.61660079051396,96.2804254374276,3,10,-0.3277777777777778,-0.2525925925925926,173.93,173.79,173.725,173.6,172.55,173.00393216280534,172.21979826645006,0.7841338963552857,1,176.21832857142857,173.16167142857142,0.299935992385912,49.63405396218706,5.514894884687451,64.29715547071042,119.74152805487105,-245020.14692779878,0.5800492374161095,0.1362715580151261,0.010645067978015677,0.03440312648034105,-0.016938660664040484,4.797071341810804,0,0,0,0,0,0
2436977.0,173.8126,174.4911,173.65,174.8,173.502,1697112000000,22463,2023-10-12 08:00:00,171.94025000000002,171.91370000000003,175.097679,176.585801,1,1,0,0,74.24033149171291,0.7775880790795497,0.4395358594202178,0.3380522196593319,175.6460768130637,168.23442318693634,174.69,1.2980000000000018,0.8254499999999955,-132320745.0,3.0,0.0481481481481481,-0.0059711953270552,0.0002880184331797,0.003740157785496,1855695.6,1.3132417838356678,66437595434.63109,375698015.0,176.83776006809907,69.7368421052631,87.9953805546581,3,10,0.0481481481481481,-0.1774074074074074,174.69,173.93,173.79,173.725,173.6,173.10332721468146,172.3257391356019,0.7775880790795497,1,175.30089999999998,171.99910000000003,0.3375169241660393,45.94896286359097,11.57810024698382,67.07287308321374,89.89132827912267,-259528.45352806212,-0.3203257769019633,0.4537991850666856,0.005675566108762409,0.031175771971496458,-0.02323095961300481,0.07700682153795531,0,0,0,0,0,0
3068011.0,173.417,173.66,173.28,173.77,173.24,1697126400000,23431,2023-10-12 12:00:00,172.16174999999998,171.83309999999997,175.050179,176.554101,1,1,0,0,63.951612903225815,0.7340825176346755,0.4984451910631093,0.2356373265715661,175.61051831560735,168.71298168439262,173.65,0.5300000000000011,0.7461642857142802,-135388756.0,3.0,0.0481481481481481,-0.0021329959374026,-0.0025615196431141,0.0038303929191049,1873441.7,1.6376335596672158,66969220380.71109,378766026.0,176.80894215341027,59.35720206422611,75.90354832000106,3,10,0.0481481481481481,-0.1022222222222222,173.65,174.69,173.93,173.79,173.725,173.130507643192,172.39642512555733,0.7340825176346755,1,174.77232857142857,171.78767142857143,0.20624060902851077,35.13205629253264,15.31642781145825,66.25365531146078,62.560061364973464,-266065.5342651772,-0.35001048684223074,0.8841496941879612,0.0066225165562914245,0.026236304412200262,-0.02272855450905198,-0.6687337330331514,0,0,0,0,0,0
