volume_1w,vw,open_1w,close_1w,high_1w,low_1w,t,transactions_1w,timestamp,sma20_1w,sma50_1w,sma100_1w,sma200_1w,close_over_sma20_1w,close_over_sma50_1w,close_over_sma100_1w,close_over_sma200_1w,rsi14_1w,macd_1w,macd_signal_1w,macd_hist_1w,bb_upper_1w,bb_lower_1w,prev_close_1w,tr_1w,atr14_1w,obv_1w,news_count,avg_sentiment,log_return_1w,ret_5_1w,vol_5_1w,avg_vol_20_1w,vol_ratio_1w,cum_vol_price_1w,cum_vol_1w,vwap_1w,stoch_k_1w,stoch_d_1w,dow_1w,month_1w,avg_sentiment_lag1_1w,sentiment_5d_ma_1w,close_lag1_1w,close_lag2_1w,close_lag3_1w,close_lag4_1w,close_lag5_1w,ema12_1w,ema26_1w,ema_diff_1w,ema_cross_1w,upper_atr_band_1w,lower_atr_band_1w,cmf20_1w,plus_di14_1w,minus_di14_1w,adx14_1w,cci20_1w,vpt_1w,roll_skew_10_1w,roll_kurt_10_1w,ret_10_1w,ret_20_1w,ret_50_1w,mom_vol_ratio_1w,vol_spike_1w,is_day_end_1w,is_week_end_1w,is_month_end_1w,is_quarter_end_1w,is_year_end_1w
50673981.0,220.0834,217.94,221.03,222.36,215.16,1713067200000,540404,2024-04-14,195.6305,,,,1,0,0,0,84.72283813747227,8.09082045252282,5.121882135969694,2.9689383165531256,217.83628916930388,173.42471083069609,216.89,7.200000000000017,5.566071428571435,356191218.0,0.0,0.0,0.0189081263368351,0.1067547944519553,0.016431072797102,36769349.6,1.378158209249369,272664849698.31,1437046776.0,189.73971776845627,90.17187121762284,89.4815364198389,6,4,0.0,0.0548181818181818,216.89,215.14,205.72,200.35,199.71,204.08931633255006,195.99849588002724,8.09082045252282,1,232.16214285714287,209.89785714285713,0.09545844740622297,53.51299325588536,5.80032082055819,35.04313117936691,181.75361111177037,10502764.65473276,0.26958054726968095,-0.8070917350064752,0.17819829424307043,0.15113796156450188,,6.497124734273992,0,1,0,0,0,0
42750673.0,215.6433,216.35,216.62,217.0676,213.87,1713672000000,454480,2024-04-21,197.1795,,,,1,0,0,0,80.05447307772889,8.49109911612112,5.79572553199998,2.69537358412114,220.7322273870441,173.62677261295593,221.03,7.159999999999997,5.773214285714291,313440545.0,0.0,0.0,-0.0201537725037597,0.0812078861991516,0.0240535479538966,36660223.3,1.166132367775294,281925500483.57,1479797449.0,190.51627685538065,79.49648995400631,83.27281529895907,6,4,0.0,0.0548181818181818,221.03,216.89,215.14,205.72,200.35,206.01711381985004,197.52601470372892,8.49109911612112,1,228.16642857142858,205.07357142857143,0.1824580428072683,51.59294772018644,5.814908752760273,38.97329909737396,130.18649505718102,9649801.401192516,-0.11052385891847759,-0.4802193921293433,0.16249865836642696,0.16688213747037284,,3.376127820873842,0,1,0,0,0,0
42943242.0,213.442,216.02,212.96,217.215,210.71,1714276800000,445549,2024-04-28,198.4775,,,,1,0,0,0,75.70834158906283,8.415977281434635,6.319775881886912,2.0962013995477236,222.5242876178262,174.43071238217385,216.62,6.5049999999999955,6.091428571428575,270497303.0,0.0,0.0,-0.0170403117607895,0.035193466848143,0.0268562973472538,36730749.45,1.1691360139127245,291070693299.89,1522740691.0,191.1492186556995,70.63664972161706,80.10167029774874,6,4,0.0,0.0,216.62,221.03,216.89,215.14,205.72,207.0852501552577,198.66927287382308,8.415977281434635,1,225.14285714285717,200.77714285714285,0.15536865510822734,48.897748587136746,9.216580674341369,43.46769575903203,100.92099156301774,8924234.668111544,0.0313412007923641,-1.194175179048088,0.12904251935107625,0.1388235294117648,,1.310435809103954,0,1,0,0,0,0
32865034.0,216.0755,215.14,218.71,219.6,213.5,1714881600000,332843,2024-05-05,199.8995,,,,1,0,0,0,77.55400952032223,8.719902028829154,6.799801111275361,1.9201009175537929,225.23193103425447,174.56706896574556,212.96,6.639999999999986,6.255000000000002,303362337.0,0.0,0.0,0.0266422967276594,0.0165938458678072,0.0210673716750809,36918636.6,0.8902017253800754,298258604886.03,1555605725.0,191.73149088663197,84.55579762769307,78.22964576777214,6,5,0.0,0.0,212.96,216.62,221.03,216.89,215.14,208.87367320829497,200.15377117946582,8.719902028829154,1,231.22,206.20000000000002,0.17403570293570342,46.92817174295669,8.975562406192102,47.44515057815905,109.91933394181456,9811602.932104781,-0.016390224426271794,-1.301233938496225,0.13385867592928635,0.14947180322699327,,0.7876558237626119,0,1,0,0,0,0
33607326.0,220.111,217.06,223.66,223.8501,215.8,1715486400000,348062,2024-05-12,201.524,,,,1,0,0,0,80.78893442622953,9.253519400390928,7.290544769098474,1.962974631292454,228.6059593476037,174.44204065239632,218.71,8.050099999999986,6.637864285714286,336969663.0,0.0,0.0,0.0223803902255811,0.0312139794365808,0.0227805210209519,37544012.2,0.8951447655879463,305775219419.19,1589213051.0,192.4066878426296,96.53836843379324,83.91027192770113,6,5,0.0,0.0,218.71,212.96,216.62,221.03,216.89,211.14849271471113,201.8949733143202,9.253519400390928,1,236.93572857142857,210.38427142857142,0.22632688348601385,48.79484687428564,7.930691992375889,51.868801033569675,116.59915491529263,10572227.794708224,-0.08390553181114321,-0.9552344523927913,0.10925953479144979,0.16995344457812434,,1.3702042067356732,0,1,0,0,0,0
32636880.0,220.178,223.79,215.92,225.66,215.66,1716091200000,301783,2024-05-19,202.8525,,,,1,0,0,0,72.73985239852398,8.948706578675626,7.622177131013905,1.3265294476617209,230.026577333874,175.67842266612604,223.66,10.0,7.079292857142859,304332783.0,0.0,0.0,-0.035219072890293,-0.0231190336153463,0.0275599387182442,37850864.2,0.8622492693310817,312822174548.79,1621849931.0,192.87985193297763,74.77337477337474,85.28918027828702,6,5,0.0,0.0,223.66,218.71,212.96,216.62,221.03,211.88257075860173,202.9338641799261,8.948706578675626,1,230.0785857142857,201.76141428571427,0.19629105081556342,47.57840017843,4.489956119054458,56.90328907812263,92.48363805565239,9442792.709310746,-0.42759944710752207,-0.7213811098074946,0.08116769315507466,0.14032215473989962,,-0.8388634482487953,0,1,0,0,0,0
16683122.0,216.6264,218.43,215.3,218.59,214.65,1716696000000,180600,2024-05-26,204.132,,,,1,0,0,0,71.0476491006627,8.55845486275993,7.809432677363111,0.7490221853968198,231.10964111259537,177.15435888740467,215.92,3.9399999999999977,7.157864285714287,287649661.0,1.0,0.4549999999999999,-0.0028755643394317,-0.006093620164343,0.0261832297595157,37243933.95,0.4479419929805777,316414050715.38995,1638533053.0,193.10812811256116,72.8297928140572,81.38051200707507,6,5,0.0,0.091,215.92,223.66,218.71,212.96,216.62,212.40832910343224,203.8498742406723,8.55845486275993,1,229.61572857142858,200.98427142857145,0.16924505156174635,45.15013955228563,5.448552590462562,61.156340298452676,68.70642677184901,9394888.227836126,-0.3372871537613108,-0.8834191876910299,0.07461941602196176,0.13489009540878194,,-0.23272980044909886,0,1,0,0,0,0
34620180.0,215.7644,215.92,211.6,219.97,211.54,1717300800000,306334,2024-06-02,205.3155,,,,1,0,0,0,64.89412513930904,7.860013149575138,7.8195487718055166,0.0404643777696218,231.3610879484212,179.26991205157884,215.3,8.430000000000007,7.340721428571429,253029481.0,0.0,0.0,-0.017334704386173,-0.0063861758076634,0.0262279847608362,37701386.95,0.9182733793298816,323739680803.38995,1673153233.0,193.49075411516117,55.75833857772184,67.78716872171792,6,6,0.4549999999999999,0.091,215.3,215.92,223.66,218.71,212.96,212.28397077982729,204.42395763025215,7.860013149575138,1,226.28144285714285,196.91855714285714,0.1117353204580779,39.91919828433376,8.339001323503716,64.00944798092303,52.63813715024993,8799929.258955494,0.13408707256079802,-1.0191767323148764,0.028582539373906313,0.12595115202468987,,-0.24348700180462426,0,1,0,0,0,0
25933204.0,214.3924,213.13,215.73,216.55,212.26,1717905600000,241539,2024-06-09,206.7515,,,,1,0,0,0,62.11340206185567,7.552686871158841,7.766176391676182,-0.2134895205173412,231.69100007940256,181.81199992059743,211.6,4.950000000000017,6.950721428571429,278962685.0,0.0,0.0,0.0193299257983681,-0.013625348635179,0.024423500501869,37751070.65,0.6869528083172391,329334250902.30994,1699086437.0,193.830192349602,62.84377923292793,63.81063687490232,6,6,0.0,0.091,211.6,215.3,215.92,223.66,218.71,212.8141291213923,205.26144225023347,7.552686871158841,1,229.63144285714284,201.82855714285714,0.14360101932779673,31.985374587839765,8.806896713824468,65.67219091794475,49.820476523673356,9306092.456119956,-0.2827761218166042,-1.4790890180511431,0.0027424002974807404,0.15357467515106138,,-0.5578783866527429,0,1,0,0,0,0
24957001.0,215.8945,214.9,214.78,218.7413,213.6,1718510400000,223120,2024-06-16,208.06,,,,1,0,0,0,63.1661715883278,7.150050192956257,7.642951151932197,-0.4929009589759401,231.7042849442801,184.41571505571991,215.73,5.141300000000001,7.085814285714286,254005684.0,0.0,0.0,-0.0044133773524418,-0.0397031208083697,0.0200873753301475,37194396.75,0.6709881912522213,334694515577.08997,1724043438.0,194.13345870528465,59.28905519176802,59.29705766747259,6,6,0.0,0.091,215.73,211.6,215.3,215.92,223.66,213.11657079502427,205.96652060206802,7.150050192956257,1,228.95162857142859,200.60837142857142,0.1430733424881162,33.58450586044303,8.638990981111249,67.1938974242256,50.06064054494915,9196190.490931991,-0.078801236579682,-1.4752853518095468,-0.009728433768269595,0.13875192195535746,,-1.9765200973559538,0,1,0,0,0,0
22094382.0,214.6234,215.55,215.01,215.94,212.1204,1719115200000,219154,2024-06-23,209.4305,193.561,,,1,1,0,0,62.90038718761,6.771459630911977,7.468652847728154,-0.697193216816177,231.18329048040056,187.67770951959943,214.78,3.819600000000008,7.0025714285714304,276100066.0,0.0,0.0,0.0010702902438669,-0.0042145238977399,0.0132236797677907,37056027.75,0.5962425910586167,339445028650.91,1746137820.0,194.39761556216104,56.8738611054869,59.66889851006095,6,6,0.0,0.091,214.78,215.73,211.6,215.3,215.92,213.40786759578978,206.6364079648778,6.771459630911977,1,229.01514285714285,201.00485714285713,0.1700012623418277,32.443490143167445,10.250928229400325,67.46681258512926,36.75714138982174,9219850.551738394,0.10811302774565551,-1.0216412034431792,-0.02723612179342172,0.14610874200426438,,-0.3187101309655139,0,1,0,0,0,0
19720456.0,217.5984,215.25,220.93,221.28,214.485,1719720000000,202106,2024-06-30,211.16,194.336,,,1,1,0,0,63.25605717273838,6.869926174827015,7.3489075131479265,-0.4789813383209118,230.5554275675044,191.7645724324956,215.01,6.7949999999999875,7.080785714285715,295820522.0,0.0,0.0,0.0271613705889993,0.0261495587552251,0.0180224448514365,36343200.85,0.542617478339143,343801868994.99,1765858276.0,194.6939194768029,75.58079504388235,63.914570447045755,6,6,0.0,0.0,215.01,214.78,215.73,211.6,215.3,214.56511873489904,207.69519256007203,6.869926174827015,1,235.09157142857143,206.7684285714286,0.17583953937636623,35.32325911820485,10.137696582286297,67.9760238735851,66.92674124077149,9762825.759961268,-0.29715967919103864,-1.0213185579030488,0.019896593112362693,0.18562842116561118,0.21270172357009542,1.450943224482031,0,1,0,1,1,0
29754769.0,220.8954,219.64,223.11,224.1489,217.265,1720324800000,280553,2024-07-07,212.88449999999995,195.16099999999997,,,1,1,0,0,57.949331737482574,7.042685704392056,7.287663151396753,-0.2449774470046968,229.81867780391863,195.95032219608132,220.93,6.883900000000011,6.856778571428571,325575291.0,0.0,0.0,0.0098190141203817,0.0543950850661627,0.0129162416348292,36695979.45,0.8108454780595861,350440455506.58,1795613045.0,195.16479704934423,82.94314381270912,71.79926665402611,6,7,0.0,0.0,220.93,215.01,214.78,215.73,211.6,215.8797158526069,208.83703014821484,7.042685704392056,1,236.82355714285717,209.39644285714286,0.18778857215397085,29.37156036108462,10.468889491997086,67.15577578945827,90.8263859402905,10056427.337021878,-0.718288387713324,-0.10338602105752262,0.04766153268219386,0.18285441628671406,0.22682283074892773,4.2113677097683775,0,1,0,0,0,0
39428928.0,225.7374,223.39,221.73,229.65,221.41,1720929600000,355485,2024-07-14,214.3265,195.9918,,,1,1,0,0,54.863344051446944,6.987694615539681,7.227669444225339,-0.239974828685658,228.82888350645905,199.82411649354097,223.11,8.240000000000009,6.696778571428573,286146363.0,0.0,0.0,-0.0062044979184135,0.027812543457099,0.0136268173665672,37030371.85,1.0647726725433897,359183031712.02,1835041973.0,195.7355946059442,58.183738120380056,72.23589232565718,6,7,0.0,0.0,223.11,220.93,215.01,214.78,215.73,216.77975956759045,209.79206495205077,6.987694615539681,1,235.12355714285712,208.33644285714286,0.10046266305899217,25.96802940156,10.719013085106054,64.8101149777245,125.69672660089061,9812547.992124738,-0.46365695677013485,-0.006408868880633634,0.013808239220886032,0.14951526776919488,0.23053443587324485,2.041013855164542,0,1,0,0,0,0
32714381.0,220.8081,221.58,220.63,224.88,217.52,1721534400000,296848,2024-07-21,215.2765,196.8524,,,1,1,0,0,49.571917808219176,6.777229293897051,7.137581414159682,-0.3603521202626307,228.72815890767436,201.82484109232564,221.73,7.359999999999985,6.708207142857142,253431982.0,0.0,0.0,-0.0049733351446248,0.0272371729211284,0.0137304273641103,35961694.4,0.9097007676034308,366400805592.0501,1867756354.0,196.17162849285108,52.375923970432886,64.50093530117402,6,7,0.0,0.0,221.73,223.11,220.93,215.01,214.78,217.3721042494996,210.59487495560256,6.777229293897051,1,234.0464142857143,207.2135857142857,0.04786477184534528,25.9237884482735,14.84279917086182,61.005814226980206,82.87502524483646,9650252.32126378,-0.2397029688951081,0.6342329115022106,-0.013547348654207259,0.09423200912562613,0.24228603603603616,1.983707597860143,0,1,0,0,0,0
35247751.0,224.414,221.26,225.34,228.76,219.045,1722139200000,371376,2024-07-28,216.558,197.8526,,,1,1,0,0,59.27264993619736,6.910827924588489,7.092230716245443,-0.1814027916569545,228.57213308084292,204.54386691915707,220.63,9.715000000000003,6.890707142857143,288679733.0,0.0,0.0,0.0211232824157397,0.0480442770103717,0.0150263870156822,36018287.45,0.9786070770002696,374343533802.3901,1903004105.0,196.71188980561345,77.24392819429777,62.60119676170357,6,7,0.0,0.0,220.63,221.73,223.11,220.93,215.01,218.59793436496122,211.68710644037273,6.910827924588489,1,239.12141428571428,211.55858571428573,0.09359960782802557,29.2591782484216,13.11248378892146,58.03192342818823,127.40267525269631,10402719.833433481,0.3397121528136318,-1.0164086724877859,0.043627269359021836,0.1283360873266235,0.2852335595733759,3.1973251445593114,0,1,0,0,0,0
