volume_1d,vw,open_1d,close_1d,high_1d,low_1d,t,transactions_1d,timestamp,sma20_1d,sma50_1d,sma100_1d,sma200_1d,close_over_sma20_1d,close_over_sma50_1d,close_over_sma100_1d,close_over_sma200_1d,rsi14_1d,macd_1d,macd_signal_1d,macd_hist_1d,bb_upper_1d,bb_lower_1d,prev_close_1d,tr_1d,atr14_1d,obv_1d,news_count,avg_sentiment,cash_amount,log_return_1d,ret_5_1d,vol_5_1d,avg_vol_20_1d,vol_ratio_1d,cum_vol_price_1d,cum_vol_1d,vwap_1d,stoch_k_1d,stoch_d_1d,dow_1d,month_1d,avg_sentiment_lag1_1d,sentiment_5d_ma_1d,close_lag1_1d,close_lag2_1d,close_lag3_1d,close_lag4_1d,close_lag5_1d,ema12_1d,ema26_1d,ema_diff_1d,ema_cross_1d,upper_atr_band_1d,lower_atr_band_1d,cmf20_1d,plus_di14_1d,minus_di14_1d,adx14_1d,cci20_1d,vpt_1d,roll_skew_10_1d,roll_kurt_10_1d,ret_10_1d,ret_20_1d,ret_50_1d,mom_vol_ratio_1d,vol_spike_1d,is_day_end_1d,is_week_end_1d,is_month_end_1d,is_quarter_end_1d,is_year_end_1d
54844740.0,455.3935,453.92,455.44,456.735,453.87,1690257600000,383333,2023-07-25,,,,,0,0,0,0,71.92732454577842,3.0726555338348476,2.0606358418010338,1.0120196920338138,,,454.2,2.865000000000009,3.564614285714291,292347455.0,0.0,0.0,,0.0027263549713683,0.0027521521830071,0.0043310952419747,,,463259801510.06,1034433395.0,447.8391781909361,93.41804320203296,,1,7,0.0,0.0,454.2,452.18,452.18,455.2,454.19,450.8230721865584,447.7504166527236,3.0726555338348476,1,462.5692285714286,448.3107714285714,0.06018725400514502,43.48296548945721,16.485253861069847,42.92182442850259,90.95792247876979,1840224.7312283677,-0.8543369832581669,0.8622334951933054,0.029335985173801093,,,0.6354387689162453,0,1,0,0,0,0
70897885.0,454.9956,454.47,455.51,456.99,453.38,1690344000000,527717,2023-07-26,,,,,0,0,0,0,82.12403729225771,3.218937399637298,2.292296153368287,0.926641246269011,,,455.44,3.6100000000000136,3.3889000000000067,363245340.0,0.0,0.0,,0.0001536857130198,0.0006810193321618,0.0042290997176336,,,495554497106.41,1105331280.0,448.3311981421624,92.3730997165678,91.42616483106686,2,7,0.0,0.0,455.44,454.2,452.18,452.18,455.2,451.54413800401096,448.32520060437366,3.218937399637298,1,462.2878,448.7322,0.06787580702224752,45.73755494919589,8.171425197352036,40.756421830553585,84.54566377639878,1851121.5605582395,-0.6371498281499591,1.0107864380949525,0.021277072777005523,,,0.16103137010662957,0,1,0,0,0,0
92090375.0,455.3257,459.02,452.49,459.44,451.55,1690430400000,627050,2023-07-27,,,,,0,0,0,0,76.2227238525207,3.0559509708541555,2.4450271168654605,0.610923853988695,,,455.51,7.889999999999986,3.642471428571436,271154965.0,0.0,0.0,,-0.0066520069075757,0.0006855676942809,0.0042272746835387,,,537224470890.16,1197421655.0,448.65104004667427,68.19949668268139,84.66354653376071,3,7,0.0,0.0,455.51,455.44,454.2,452.18,452.18,451.6896552341631,448.63370426330897,3.0559509708541555,1,459.7749428571429,445.20505714285713,0.004073612144457028,42.37703599158002,7.602569682358072,43.50013615944639,71.03891708107972,1240568.7022236297,-0.5768617268901252,-0.11501652654060786,0.006517483761900644,,,0.1621768453282888,0,1,0,0,0,0
80001790.0,456.2639,455.88,456.92,457.78,452.4918,1690516800000,528393,2023-07-28,,,,,0,0,0,0,78.8628762541806,3.246819712168133,2.605385635925995,0.6414340762421378,,,452.49,5.289999999999964,3.859257142857148,351156755.0,0.0,0.0,,0.0097426574174757,0.0104825511964261,0.0060154824986956,,,573778888776.96,1277423445.0,449.1689040331962,87.40000000000009,82.6575321330831,4,7,0.0,0.0,452.49,455.51,455.44,454.2,452.18,452.49432365967647,449.24750394750833,3.246819712168133,1,464.63851428571434,449.2014857142857,0.04607621968774118,39.996594451930655,5.852162517240147,46.15918389818297,82.26355169558278,2023807.9554667948,-0.39880572009383286,-0.22123163523800468,0.01700498575498588,,,1.7425923477918288,0,1,1,0,0,0
61970449.0,457.1754,457.41,457.79,458.16,456.045,1690776000000,438675,2023-07-31,,,,,0,0,0,0,77.40436181623173,3.4287616637712404,2.7700608414950443,0.6587008222761961,,,456.92,2.115000000000009,3.7581857142857182,413127204.0,0.0,0.0,,0.0019022428143197,0.0079040070453544,0.0058704154436648,,,602148340624.6699,1339393894.0,449.56778086123626,88.64418444597398,81.41456037621849,0,7,0.0,0.0,456.92,452.49,455.51,455.44,454.2,453.3090430966493,449.88028143287806,3.4287616637712404,1,465.3063714285715,450.27362857142856,0.07402375111041526,35.8455637720622,6.009548679262115,51.1777225464048,96.542663786644,2141802.988798663,-0.30103409570661366,-0.17915732753544183,0.01541566852985543,,,1.3464112816361862,0,1,0,1,0,0
55478674.0,456.4787,456.27,456.48,457.25,455.49,1690862400000,418011,2023-08-01,450.087,,,,1,0,0,0,70.33437013996894,3.4277331453546367,2.901595302266963,0.5261378430876738,462.6906287172427,437.4833712827572,457.79,2.3000000000000114,3.563907142857147,357648530.0,0.0,0.0,,-0.0028656762148763,0.0022835060600738,0.0061233633141281,69743628.4,0.7954658407190067,627473245732.19,1394872568.0,449.8427025716588,75.31276063386174,83.78564835994527,1,8,0.0,0.0,457.79,456.92,452.49,455.51,455.44,453.7968826202417,450.3691494748871,3.4277331453546367,1,463.6078142857143,449.3521857142857,0.07605124434439865,28.76077017623908,7.449488621547091,53.282125448546886,80.57874479483444,1983046.6530551994,0.1086396428042708,0.180361973944047,0.005041942799269172,,,0.3729163555658448,0,1,0,0,0,0
93933369.0,451.4441,453.25,450.13,453.52,449.3499,1690948800000,622257,2023-08-02,450.43700000000007,,,,0,0,0,0,50.998948475289154,2.8813121335427354,2.8975386685221176,-0.0162265349793822,462.6085493975437,438.2654506024565,456.48,7.130100000000027,3.7617714285714334,263715161.0,0.0,0.0,,-0.0140084575322958,-0.0118109371912801,0.0089303318104984,71519375.25,1.3133975048251,669755473120.1599,1488805937.0,449.86082905455254,14.97716894977158,59.644704676535774,2,8,0.0,0.0,456.48,457.79,456.92,452.49,455.51,453.23274683251225,450.3514346989695,2.8813121335427354,1,457.65354285714284,442.60645714285715,0.02339156559733028,21.741276901888742,18.716486150385773,50.93179778549785,7.898298792595638,676358.7518327979,-0.43128013106128643,0.44454060087904324,-0.011137961335676572,0.01579671879583877,,-1.3225627240152562,0,1,0,0,0,0
63910792.0,449.2049,448.04,448.84,450.79,447.37,1691035200000,486811,2023-08-03,450.8959999999999,,,,0,0,0,0,49.255247122545704,2.31746305439043,2.78152354569578,-0.4640604913053501,462.0020863351682,439.7899136648316,450.13,3.420000000000016,3.801057142857149,199804369.0,0.0,0.0,,-0.0028699531362286,-0.0080664766072179,0.0086328464309607,70681999.75,0.9042018084668012,698441193001.44,1552716729.0,449.8188110920005,12.178956089477806,34.156295224370375,3,8,0.0,0.0,450.13,456.48,457.79,456.92,452.49,452.55693962751036,450.23947657311993,2.31746305439043,1,456.4421142857143,441.23788571428565,-0.023217211482747784,19.674977634102756,22.243623950058318,48.27237112005556,-30.34592700285101,493200.72708438645,-0.6174828177118281,1.2799942577575243,-0.007386439028705505,0.020879770731929037,,-0.9343925352781789,0,1,0,0,0,0
100128902.0,449.0804,450.72,446.81,452.895,446.27,1691121600000,663138,2023-08-04,451.309,,,,0,0,0,0,43.28557147617465,1.6873537980245032,2.562689596161525,-0.8753357981370216,461.0070712135538,441.61092878644627,448.84,6.625,4.070700000000004,99675467.0,0.0,0.0,,-0.0045330284733862,-0.0221264116256675,0.0058464840762124,71416735.95,1.4020369408943842,743179787704.0599,1652845631.0,449.6365382013463,4.100227790432952,10.41878427656078,4,8,0.0,0.0,448.84,450.13,456.48,457.79,456.92,451.67279506943186,449.98544127140735,1.6873537980245032,1,454.95140000000004,438.66859999999997,-0.028729435168789702,21.065173062361097,20.77020799848917,45.11136634859497,-48.295052221137006,40340.75234951527,-0.35751243380654,0.7581973321983487,-0.01187580167190061,0.018834796488427674,,-3.7845606849570097,0,1,1,0,0,0
58328464.0,449.5693,448.71,450.71,450.865,447.99,1691380800000,445167,2023-08-07,451.8615,,,,0,0,0,0,44.30628272251305,1.485560462717558,2.3472637694727316,-0.8617033067551736,459.8786428825986,443.8443571174014,446.81,4.055000000000007,4.016657142857148,158003931.0,0.0,0.0,,0.0086906688351894,-0.0154656065007974,0.0080649585013831,71210984.1,0.8190936375502218,769469009713.4999,1711174095.0,449.6731290883058,33.71298405466965,16.66405597819347,0,8,0.0,0.0,446.81,448.84,450.13,456.48,457.79,451.5246727510577,450.03911228834016,1.485560462717558,1,458.7433142857143,442.67668571428567,-0.029118267363729175,16.138153258904282,21.0496646071983,42.34503351112672,-43.54943785477135,549463.2196174767,-0.20312623064023616,0.18883393515059563,-0.00768383971818587,0.02513305736250726,,-1.9176276383652495,0,1,0,0,0,0
